级号名称,任务名称,任务描述,分值,截止类型,是否必修
2023级,志愿服务,参加志愿服务活动并获得证明,5,学年,是
2023级,社会实践,参加社会实践活动并提交报告,5,学年,是
2023级,读书笔记,每学期提交读书笔记,3,学期,是
2023级,家务劳动,完成家务劳动并家长签字确认,2,学期,否
2023级,社团活动,参加学校社团活动,3,学年,否
2024级,志愿服务,参加志愿服务活动并获得证明,5,学年,是
2024级,社会实践,参加社会实践活动并提交报告,5,学年,是
2024级,读书笔记,每学期提交读书笔记,3,学期,是
2024级,家务劳动,完成家务劳动并家长签字确认,2,学期,否
2024级,学科竞赛,参加学科竞赛,5,学年,否
2025级,志愿服务,参加志愿服务活动并获得证明,5,学年,是
2025级,社会实践,参加社会实践活动并提交报告,5,学年,是
2025级,读书笔记,每学期提交读书笔记,3,学期,是
2025级,家务劳动,完成家务劳动并家长签字确认,2,学期,否
2025级,社团活动,参加学校社团活动,3,学年,否
2026级,志愿服务,参加志愿服务活动并获得证明,5,学年,是
2026级,社会实践,参加社会实践活动并提交报告,5,学年,是
2026级,读书笔记,每学期提交读书笔记,3,学期,是
2026级,家务劳动,完成家务劳动并家长签字确认,2,学期,否
2026级,学科竞赛,参加学科竞赛,5,学年,否